Gene,Symbol,casTLE_Effect,casTLE_Score,pvalue,Logpvalue
ENSMUSG00000091512,Lamtor3,1,0.157,0.491,0.308918508
ENSMUSG00000050552,Lamtor4,3.2,6.85,0.0221,1.655607726
ENSMUSG00000087260,Lamtor5,4.1,10.3,0.0164,1.785156152
ENSMUSG00000062190,Lancl2,-0.3,0.121,0.383,0.416801226
ENSMUSG00000039682,Lap3,0,0,0.766,0.11577123
ENSMUSG00000037331,Larp1,-6.2,2.26,0.133,0.876148359
ENSMUSG00000023025,Larp4,0,0,0.72,0.142667504
ENSMUSG00000033499,Larp4b,-2.6,1.29,0.298,0.525783736
ENSMUSG00000034839,Larp6,0,0,0.72,0.142667504
ENSMUSG00000038366,Lasp1,0.6,0.431,0.223,0.651695137
ENSMUSG00000030742,Lat,-6,0.446,0.356,0.448550002
ENSMUSG00000040021,Lats1,0,0,0.766,0.11577123
ENSMUSG00000021959,Lats2,0.4,0.0952,0.545,0.263603498
ENSMUSG00000024063,Lbh,-0.1,0.0327,0.648,0.188424994
ENSMUSG00000025216,Lbx1,1,1.48,0.254,0.595166283
ENSMUSG00000034968,Lbx2,-0.2,0.0274,0.657,0.18243463
ENSMUSG00000000409,Lck,3.7,2.07,0.099,1.004364805
ENSMUSG00000074890,Lcmt2,0,0,0.766,0.11577123
ENSMUSG00000026822,Lcn2,-0.5,0.138,0.504,0.297569464
ENSMUSG00000023210,Lcn9,-3.9,0.857,0.276,0.559090918
ENSMUSG00000025019,Lcor,0,0,0.72,0.142667504
ENSMUSG00000015882,Lcorl,0.7,0.242,0.517,0.286509457
ENSMUSG00000021998,Lcp1,0,0,0.594,0.226213555
ENSMUSG00000026354,Lct,-6.2,2.28,0.0805,1.09420412
ENSMUSG00000032401,Lctl,0.1,0.00232,0.745,0.127843727
ENSMUSG00000039706,Ldb2,0,0,0.72,0.142667504
ENSMUSG00000063229,Ldha,0,0,0.594,0.226213555
ENSMUSG00000030246,Ldhb,0,0,0.594,0.226213555
ENSMUSG00000030851,Ldhc,-2.5,1.39,0.19,0.721246399
ENSMUSG00000032193,Ldlr,0,0,0.594,0.226213555
ENSMUSG00000027985,Lef1,0.5,0.11,0.398,0.400116928
ENSMUSG00000078173,Lenep,3.7,3.98,0.0616,1.210419288
ENSMUSG00000078813,Leng1,0,0,0.594,0.226213555
ENSMUSG00000043432,Leng9,1.5,0.431,0.47,0.327902142
ENSMUSG00000042487,Leo1,-0.3,0.0961,0.585,0.232844134
ENSMUSG00000029570,Lfng,2.2,0.782,0.162,0.790484985
ENSMUSG00000068220,Lgals1,1.5,0.887,0.149,0.826813732
ENSMUSG00000043501,Lgals2,-6.6,4.83,0.0174,1.759450752
ENSMUSG00000050335,Lgals3,0,0,0.594,0.226213555
ENSMUSG00000033880,Lgals3bp,-0.4,0.148,0.356,0.448550002
ENSMUSG00000067242,Lgi1,-0.3,0.125,0.378,0.4225082
ENSMUSG00000050199,Lgr4,-0.6,0.83,0.39,0.408935393
ENSMUSG00000050217,Lgsn,-6.5,1.86,0.129,0.88941029
ENSMUSG00000024107,Lhcgr,0,0,0.766,0.11577123
ENSMUSG00000048332,Lhfp,1.1,0.277,0.272,0.565431096
ENSMUSG00000030946,Lhpp,-7.9,0.734,0.294,0.53165267
ENSMUSG00000018698,Lhx1,0.8,0.666,0.422,0.374687549
ENSMUSG00000026934,Lhx3,1.6,0.678,0.419,0.377785977
ENSMUSG00000026468,Lhx4,0,0,0.72,0.142667504
ENSMUSG00000026890,Lhx6,0,0,0.72,0.142667504
ENSMUSG00000096225,Lhx8,0.4,0.132,0.563,0.249491605
ENSMUSG00000019230,Lhx9,0,0,0.72,0.142667504
ENSMUSG00000029199,Lias,-6.1,0.0989,0.542,0.266000713
ENSMUSG00000034394,Lif,-0.5,0.305,0.262,0.581698709
ENSMUSG00000056394,Lig1,0,0,0.594,0.226213555
ENSMUSG00000020697,Lig3,0,0,0.594,0.226213555
ENSMUSG00000029674,Limk1,-0.5,0.136,0.505,0.296708622
ENSMUSG00000020451,Limk2,-7.8,1.11,0.235,0.628932138
ENSMUSG00000019920,Lims1,1.6,1.1,0.127,0.896196279
ENSMUSG00000050966,Lin28a,0,0,0.72,0.142667504
ENSMUSG00000036845,Lin37,0,0,0.594,0.226213555
ENSMUSG00000085793,Lin52,0,0,0.594,0.226213555
ENSMUSG00000035310,Lin54,-0.1,0.00573,0.705,0.151810883
ENSMUSG00000003872,Lin7b,0,0,0.594,0.226213555
ENSMUSG00000027162,Lin7c,0,0,0.594,0.226213555
ENSMUSG00000058729,Lin9,0,0,0.594,0.226213555
ENSMUSG00000045083,Lingo2,0,0,0.594,0.226213555
ENSMUSG00000024781,Lipa,0,0,0.766,0.11577123
ENSMUSG00000024768,Lipf,0,0,0.766,0.11577123
ENSMUSG00000037216,Lipt1,0.4,0.0272,0.653,0.185086819
ENSMUSG00000020782,Llgl2,0,0,0.594,0.226213555
ENSMUSG00000041891,Lman1,-7,0.494,0.344,0.463441557
ENSMUSG00000022802,Lmln,6.1,8.89,0.0185,1.732828272
ENSMUSG00000024590,Lmnb1,0,0,0.594,0.226213555
ENSMUSG00000062075,Lmnb2,0,0,0.594,0.226213555
ENSMUSG00000032698,Lmo2,-0.1,0.0134,0.542,0.266000713
ENSMUSG00000028266,Lmo4,0,0,0.72,0.142667504
ENSMUSG00000033060,Lmo7,0,0,0.594,0.226213555
ENSMUSG00000038970,Lmtk2,0,0,0.766,0.11577123
ENSMUSG00000062044,Lmtk3,-3.8,2.52,0.0647,1.189095719
ENSMUSG00000026686,Lmx1a,-0.1,0.00211,0.583,0.234331445
ENSMUSG00000038765,Lmx1b,-5.2,1.28,0.3,0.522878745
ENSMUSG00000016520,Lnx2,0.1,0.00464,0.574,0.241088108
ENSMUSG00000024529,Lox,0,0,0.594,0.226213555
ENSMUSG00000034205,Loxl2,0,0,0.594,0.226213555
ENSMUSG00000038668,Lpar1,0,0,0.594,0.226213555
ENSMUSG00000015568,Lpl,0.9,0.42,0.363,0.440093375
ENSMUSG00000009356,Lpo,-0.5,0.398,0.233,0.632644079
ENSMUSG00000033306,Lpp,0,0,0.594,0.226213555
ENSMUSG00000028003,Lrat,0,0,0.766,0.11577123
ENSMUSG00000028080,Lrba,0,0,0.594,0.226213555
ENSMUSG00000093445,Lrch4,-0.1,0.0206,0.67,0.173925197
ENSMUSG00000030600,Lrfn1,-0.2,0.0338,0.646,0.189767482
ENSMUSG00000035653,Lrfn5,1,0.3,0.501,0.300162274
ENSMUSG00000056215,Lrguk,0,0,0.594,0.226213555
ENSMUSG00000040249,Lrp1,-0.4,0.144,0.5,0.301029996
ENSMUSG00000049252,Lrp1b,0,0,0.594,0.226213555
ENSMUSG00000027070,Lrp2,1.7,1.06,0.131,0.882728704
ENSMUSG00000024913,Lrp5,1.5,0.873,0.151,0.821023053
ENSMUSG00000024120,Lrpprc,0.1,0.00117,0.589,0.229884705
ENSMUSG00000032495,Lrrc2,0.5,0.377,0.481,0.317854924
ENSMUSG00000028703,Lrrc41,0,0,0.594,0.226213555
ENSMUSG00000029028,Lrrc47,-6,1.31,0.294,0.53165267
ENSMUSG00000021997,Lrrc63,0,0,0.72,0.142667504
ENSMUSG00000028176,Lrrc7,1.3,0.773,0.163,0.787812396
ENSMUSG00000026305,Lrrfip1,0,0,0.72,0.142667504
ENSMUSG00000015133,Lrrk1,1,0.166,0.482,0.316952962
ENSMUSG00000036273,Lrrk2,0.1,4.45E-06,0.766,0.11577123
ENSMUSG00000022538,Lsg1,-0.4,0.106,0.579,0.237321436
ENSMUSG00000037296,Lsm1,-0.2,0.132,0.563,0.249491605
ENSMUSG00000050188,Lsm10,-0.1,0.000421,0.719,0.14327111
ENSMUSG00000066568,Lsm14a,1.5,0.27,0.275,0.560667306
ENSMUSG00000007050,Lsm2,-8.1,0.919,0.268,0.571865206
ENSMUSG00000031848,Lsm4,0.8,0.36,0.485,0.314258261
ENSMUSG00000031683,Lsm6,-3.7,3.17,0.0414,1.382999659
ENSMUSG00000044155,Lsm8,-0.2,0.036,0.643,0.191789027
ENSMUSG00000024402,Lta,-0.3,0.0501,0.608,0.216096421
ENSMUSG00000015889,Lta4h,2.2,0.978,0.259,0.586700236
ENSMUSG00000024399,Ltb,2.9,1.35,0.105,0.978810701
ENSMUSG00000001870,Ltbp1,-2.3,5.62,0.0275,1.560667306
ENSMUSG00000030339,Ltbr,1.6,0.364,0.242,0.616184634
ENSMUSG00000020377,Ltc4s,0,0,0.766,0.11577123
ENSMUSG00000032496,Ltf,0,0,0.766,0.11577123
ENSMUSG00000027297,Ltk,-0.5,0.293,0.41,0.387216143
ENSMUSG00000036446,Lum,2.7,3.04,0.0563,1.249491605
ENSMUSG00000022577,Ly6h,-0.2,0.0428,0.483,0.316052869
ENSMUSG00000021423,Ly86,0,0,0.594,0.226213555
ENSMUSG00000025779,Ly96,-7.2,5.51,0.0124,1.906578315
ENSMUSG00000067367,Lyar,4.4,3.07,0.0956,1.019542108
ENSMUSG00000034041,Lyl1,-0.4,0.22,0.299,0.524328812
ENSMUSG00000042228,Lyn,-3.5,3.9,0.0276,1.559090918
ENSMUSG00000022594,Lynx1,-0.3,0.112,0.394,0.404503778
ENSMUSG00000028670,Lypla2,-3.5,2.26,0.133,0.876148359
ENSMUSG00000069515,Lyz1,-4.7,1.51,0.173,0.761953897
ENSMUSG00000069516,Lyz2,0,0,0.766,0.11577123
ENSMUSG00000024233,Lyzl1,0,0,0.594,0.226213555
ENSMUSG00000022761,Lztr1,3.2,24.2,0.00015,3.823908741
ENSMUSG00000036306,Lzts1,-0.4,0.14,0.364,0.438898616
ENSMUSG00000035342,Lzts2,0,0,0.594,0.226213555
ENSMUSG00000007458,M6pr,0,0,0.766,0.11577123
ENSMUSG00000056947,Mab21l1,1.2,0.375,0.239,0.621602099
ENSMUSG00000057777,Mab21l2,0,0,0.594,0.226213555
ENSMUSG00000041886,Macc1,0.4,0.273,0.508,0.294136288
ENSMUSG00000068205,Macrod2,0,0,0.594,0.226213555
ENSMUSG00000029554,Mad1l1,0,0,0.594,0.226213555
ENSMUSG00000034509,Mad2l1bp,0,0,0.594,0.226213555
ENSMUSG00000029003,Mad2l2,0.1,0.00216,0.583,0.234331445
ENSMUSG00000040687,Madd,-0.9,0.208,0.455,0.341988603
ENSMUSG00000079562,Maea,-0.4,0.134,0.368,0.434152181
ENSMUSG00000040629,Mael,0,0,0.72,0.142667504
ENSMUSG00000055435,Maf,0,0,0.594,0.226213555
ENSMUSG00000047591,Mafa,0,0,0.72,0.142667504
ENSMUSG00000074622,Mafb,-0.4,0.214,0.302,0.519993057
ENSMUSG00000042622,Maff,1,1.55,0.0933,1.030118356
ENSMUSG00000051510,Mafg,0,0,0.72,0.142667504
ENSMUSG00000018143,Mafk,0,0,0.594,0.226213555
ENSMUSG00000025151,Maged1,-0.2,0.127,0.565,0.247951552
ENSMUSG00000031227,Magee1,0,0,0.594,0.226213555
ENSMUSG00000047238,Mageh1,0,0,0.594,0.226213555
ENSMUSG00000045095,Magi1,-0.4,0.148,0.356,0.448550002
ENSMUSG00000015202,Magi1,-0.1,0.0061,0.725,0.139661993
ENSMUSG00000040003,Magi2,1,0.278,0.416,0.380906669
ENSMUSG00000052539,Magi3,5,3.06,0.0444,1.35261703
ENSMUSG00000028609,Magoh,-1.5,0.245,0.516,0.287350298
ENSMUSG00000030188,Magohb,0.8,0.815,0.393,0.40560745
ENSMUSG00000021363,Mak,0,0,0.766,0.11577123
ENSMUSG00000032688,Malt1,1.2,0.702,0.172,0.764471553
ENSMUSG00000050567,Maml1,0,0,0.594,0.226213555
ENSMUSG00000061143,Maml3,2.2,1.55,0.235,0.628932138
ENSMUSG00000003746,Man1a,0.8,0.299,0.408,0.389339837
ENSMUSG00000036646,Man1b1,-0.1,0.00312,0.741,0.130181792
ENSMUSG00000024085,Man2a1,-6.5,0.537,0.334,0.476253533
ENSMUSG00000029119,Man2b2,2.3,1,0.138,0.860120914
ENSMUSG00000025037,Maoa,2,1.09,0.128,0.89279003
ENSMUSG00000040147,Maob,0.5,0.0445,0.617,0.209714836
ENSMUSG00000027254,Map1a,0.6,0.0604,0.593,0.226945307
ENSMUSG00000027602,Map1lc3a,-0.6,0.572,0.192,0.716698771
ENSMUSG00000019261,Map1s,-0.9,1.19,0.319,0.496209317
ENSMUSG00000015222,Map2,-2.5,10.4,0.0163,1.787812396
ENSMUSG00000004936,Map2k1,-1.2,2.16,0.141,0.850780887
ENSMUSG00000035027,Map2k2,1.9,0.451,0.466,0.331614083
ENSMUSG00000018932,Map2k3,-0.1,0.0217,0.668,0.175223538
ENSMUSG00000033352,Map2k4,0.8,0.321,0.495,0.305394801
ENSMUSG00000058444,Map2k5,1.7,0.549,0.197,0.705533774
ENSMUSG00000020623,Map2k6,3.6,4.41,0.0472,1.326058001
ENSMUSG00000002948,Map2k7,-0.3,0.121,0.569,0.244887734
ENSMUSG00000021754,Map3k1,0,0,0.72,0.142667504
ENSMUSG00000040390,Map3k10,1.8,0.198,0.463,0.334419009
ENSMUSG00000004054,Map3k11,-0.1,0.0103,0.694,0.15864053
ENSMUSG00000023050,Map3k12,-2,0.752,0.405,0.392544977
ENSMUSG00000033618,Map3k13,2.3,0.752,0.291,0.536107011
ENSMUSG00000031303,Map3k15,-0.4,0.0304,0.644,0.191114133
ENSMUSG00000051590,Map3k19,-0.8,0.69,0.303,0.518557371
ENSMUSG00000024383,Map3k2,-0.8,0.997,0.359,0.444905551
ENSMUSG00000020700,Map3k3,0,0,0.72,0.142667504
ENSMUSG00000014426,Map3k4,-0.3,0.301,0.5,0.301029996
ENSMUSG00000071369,Map3k5,-3.8,1.24,0.308,0.511449283
ENSMUSG00000028862,Map3k6,0.9,0.218,0.45,0.346787486
ENSMUSG00000024235,Map3k8,-0.6,0.499,0.456,0.341035157
ENSMUSG00000042724,Map3k9,-1.6,1.11,0.235,0.628932138
ENSMUSG00000037337,Map4k1,0.3,0.0943,0.586,0.232102384
ENSMUSG00000024948,Map4k2,-0.1,0.0118,0.69,0.161150909
ENSMUSG00000024242,Map4k3,1,0.29,0.412,0.385102784
ENSMUSG00000026074,Map4k4,5,4.27,0.0516,1.287350298
ENSMUSG00000034761,Map4k5,-6,0.432,0.359,0.444905551
ENSMUSG00000055407,Map6,0,0,0.72,0.142667504
ENSMUSG00000041020,Map7d2,0.4,0.0699,0.445,0.351639989
ENSMUSG00000067878,Map7d3,-0.1,0.00736,0.565,0.247951552
ENSMUSG00000033900,Map9,2.3,2.03,0.0747,1.126679398
ENSMUSG00000063358,Mapk1,-4.2,3.07,0.0956,1.019542108
ENSMUSG00000046709,Mapk10,0,0,0.72,0.142667504
ENSMUSG00000053137,Mapk11,-7.4,3.35,0.0376,1.424812155
ENSMUSG00000004864,Mapk13,0,0,0.72,0.142667504
ENSMUSG00000053436,Mapk14,-2.8,1.72,0.198,0.70333481
ENSMUSG00000063704,Mapk15,-0.2,0.00925,0.711,0.148130399
ENSMUSG00000063065,Mapk3,6.1,10.8,0.00818,2.087246696
ENSMUSG00000024558,Mapk4,2.8,0.58,0.324,0.48945499
ENSMUSG00000042688,Mapk6,0,0,0.766,0.11577123
ENSMUSG00000001034,Mapk7,2.8,1.15,0.122,0.913640169
ENSMUSG00000021936,Mapk8,-6.3,2.12,0.145,0.838631998
ENSMUSG00000027223,Mapk8ip1,0,0,0.766,0.11577123
ENSMUSG00000022619,Mapk8ip2,-0.3,0.0292,0.647,0.189095719
ENSMUSG00000020366,Mapk9,0,0,0.72,0.142667504
ENSMUSG00000038696,Mapkap1,-8.3,0.41,0.365,0.437707136
ENSMUSG00000016528,Mapkapk2,0,0,0.766,0.11577123
ENSMUSG00000032577,Mapkapk3,-0.2,0.0104,0.708,0.149966742
ENSMUSG00000029454,Mapkapk5,0,0,0.766,0.11577123
ENSMUSG00000033902,Mapkbp1,-0.3,0.106,0.579,0.237321436
ENSMUSG00000027479,Mapre1,0,0,0.594,0.226213555
ENSMUSG00000029166,Mapre3,0,0,0.594,0.226213555
ENSMUSG00000026620,Mark1,-0.6,0.365,0.381,0.419075024
ENSMUSG00000024969,Mark2,-8.3,0.129,0.512,0.290730039
ENSMUSG00000007411,Mark3,3,1.05,0.246,0.609064893
ENSMUSG00000030397,Mark4,-0.3,0.028,0.65,0.187086643
ENSMUSG00000040354,Mars,0,0,0.594,0.226213555
ENSMUSG00000046994,Mars2,0,0,0.594,0.226213555
ENSMUSG00000068037,Mas1,1.5,0.922,0.146,0.835647144
ENSMUSG00000028979,Masp2,-9.1,2.97,0.0469,1.328827157
ENSMUSG00000053693,Mast1,0,0,0.766,0.11577123
ENSMUSG00000003810,Mast2,0,0,0.766,0.11577123
ENSMUSG00000031833,Mast3,-2.8,1.44,0.182,0.739928612
ENSMUSG00000034751,Mast4,-0.3,0.0665,0.583,0.234331445
ENSMUSG00000026779,Mastl,-8.5,1.04,0.247,0.607303047
ENSMUSG00000037798,Mat1a,-0.2,0.0236,0.662,0.179142011
ENSMUSG00000053907,Mat2a,0,0,0.766,0.11577123
ENSMUSG00000004933,Matk,-8.3,0.294,0.41,0.387216143
ENSMUSG00000037236,Matr3,-0.6,0.408,0.23,0.638272164
ENSMUSG00000059436,Max,0,0,0.594,0.226213555
ENSMUSG00000030678,Maz,-5.1,0.274,0.508,0.294136288
ENSMUSG00000018893,Mb,-3.7,1.69,0.151,0.821023053
ENSMUSG00000024561,Mbd1,0,0,0.72,0.142667504
ENSMUSG00000024513,Mbd2,0,0,0.594,0.226213555
ENSMUSG00000038691,Mbd3l1,0,0,0.72,0.142667504
ENSMUSG00000030322,Mbd4,0,0,0.594,0.226213555
ENSMUSG00000036792,Mbd5,-0.7,0.572,0.441,0.355561411
ENSMUSG00000024863,Mbl2,0.1,0.000821,0.762,0.118045029
ENSMUSG00000027763,Mbnl1,-5.2,2.94,0.101,0.995678626
ENSMUSG00000036109,Mbnl3,0.3,0.143,0.556,0.254925208
ENSMUSG00000041607,Mbp,2.3,0.73,0.168,0.774690718
ENSMUSG00000045569,Mc2r,-0.3,0.028,0.65,0.187086643
ENSMUSG00000048755,Mcat,-0.5,0.299,0.265,0.576754126
ENSMUSG00000071856,Mcc,1.3,0.752,0.166,0.779891912
ENSMUSG00000027709,Mccc1,0.4,0.0583,0.595,0.225483034
ENSMUSG00000021646,Mccc2,-0.1,0.00444,0.734,0.13430394
ENSMUSG00000038612,Mcl1,0.5,0.0841,0.426,0.370590401
ENSMUSG00000002870,Mcm2,0,0,0.594,0.226213555
ENSMUSG00000001150,Mcm3ap,0,0,0.594,0.226213555
ENSMUSG00000022673,Mcm4,0,0,0.594,0.226213555
ENSMUSG00000029730,Mcm7,0,0,0.594,0.226213555
ENSMUSG00000027353,Mcm8,0,0,0.594,0.226213555
ENSMUSG00000058298,Mcm9,0.2,0.0377,0.641,0.19314197
ENSMUSG00000046101,Mcmdc2,0,0,0.72,0.142667504
ENSMUSG00000039842,Mcph1,0,0,0.594,0.226213555
ENSMUSG00000037570,Mcrs1,1.6,3.95,0.0628,1.202040356
ENSMUSG00000000355,Mcts1,-0.6,0.206,0.307,0.512861625
ENSMUSG00000029378,Mcub,0,0,0.594,0.226213555
ENSMUSG00000061607,Mdc1,-0.2,0.049,0.472,0.326058001
ENSMUSG00000032717,Mdfi,0.2,0.0367,0.642,0.192464972
ENSMUSG00000041390,Mdfic,0,0,0.72,0.142667504
ENSMUSG00000020321,Mdh1,0,0,0.594,0.226213555
ENSMUSG00000019179,Mdh2,0,0,0.594,0.226213555
ENSMUSG00000027239,Mdk,0,0,0.594,0.226213555
ENSMUSG00000054387,Mdm4,-0.8,0.744,0.167,0.777283529
ENSMUSG00000002329,Mdp1,0,0,0.72,0.142667504
ENSMUSG00000032418,Me1,0,0,0.594,0.226213555
ENSMUSG00000024556,Me2,0,0,0.766,0.11577123
ENSMUSG00000030621,Me3,0,0,0.766,0.11577123
ENSMUSG00000028863,Meaf6,-6.2,2.58,0.114,0.943095149
ENSMUSG00000031393,Mecp2,0.6,0.0624,0.613,0.212539525
ENSMUSG00000028910,Mecr,-0.4,0.26,0.512,0.290730039
ENSMUSG00000018923,Med11,0.3,0.0593,0.616,0.210419288
ENSMUSG00000079487,Med12,-6.2,2.57,0.114,0.943095149
ENSMUSG00000056476,Med12l,0,0,0.72,0.142667504
ENSMUSG00000034297,Med13,-0.2,0.0275,0.657,0.18243463
ENSMUSG00000018076,Med13l,5.8,6.91,0.0199,1.701146924
ENSMUSG00000064127,Med14,0,0,0.72,0.142667504
ENSMUSG00000013833,Med16,0,0,0.72,0.142667504
ENSMUSG00000031935,Med17,0.4,0.105,0.579,0.237321436
ENSMUSG00000066042,Med18,1.1,0.577,0.44,0.356547324
ENSMUSG00000027080,Med19,-0.3,0.151,0.553,0.257274869
ENSMUSG00000030291,Med21,0,0,0.72,0.142667504
ENSMUSG00000019984,Med23,-4.2,2.46,0.12,0.920818754
ENSMUSG00000017210,Med24,0,0,0.594,0.226213555
ENSMUSG00000002968,Med25,0.3,0.0917,0.588,0.230622674
ENSMUSG00000026799,Med27,-0.3,0.227,0.523,0.281498311
ENSMUSG00000015804,Med28,0,0,0.72,0.142667504
ENSMUSG00000003444,Med29,0,0,0.72,0.142667504
ENSMUSG00000020801,Med31,0,0,0.72,0.142667504
ENSMUSG00000022109,Med4,-4.7,2.54,0.116,0.935542011
ENSMUSG00000002679,Med6,0,0,0.72,0.142667504
ENSMUSG00000020397,Med7,0.5,0.114,0.573,0.241845378
ENSMUSG00000006392,Med8,-0.2,0.0186,0.675,0.170696227
ENSMUSG00000061650,Med9,0,0,0.72,0.142667504
ENSMUSG00000030557,Mef2a,0.5,0.171,0.544,0.2644011
ENSMUSG00000005583,Mef2c,-0.4,0.184,0.322,0.492144128
ENSMUSG00000027210,Meis2,-0.1,0.0186,0.675,0.170696227
ENSMUSG00000041420,Meis3,0,0,0.72,0.142667504
ENSMUSG00000035683,Melk,0.9,0.267,0.421,0.375717904
ENSMUSG00000036144,Meox2,0,0,0.594,0.226213555
ENSMUSG00000029726,Mepce,0,0,0.594,0.226213555
ENSMUSG00000014361,Mertk,0,0,0.766,0.11577123
ENSMUSG00000030544,Mesp1,0,0,0.72,0.142667504
ENSMUSG00000030543,Mesp2,1.8,3.89,0.065,1.187086643
ENSMUSG00000009376,Met,1.7,1.67,0.153,0.815308569
ENSMUSG00000005813,Metap1,-7.7,1.31,0.201,0.696803943
ENSMUSG00000045555,Mettl24,0,0,0.72,0.142667504
ENSMUSG00000022160,Mettl3,0,0,0.72,0.142667504
ENSMUSG00000025347,Mettl7b,3.4,3.41,0.051,1.292429824
ENSMUSG00000041975,Mettl8,1.1,0.512,0.453,0.343901798
ENSMUSG00000029020,Mfn2,0,0,0.594,0.226213555
ENSMUSG00000018169,Mfng,-0.1,0.00166,0.585,0.232844134
ENSMUSG00000068587,Mgam,-1,0.784,0.286,0.543633967
ENSMUSG00000020346,Mgat1,-8.1,0.926,0.267,0.573488739
ENSMUSG00000026110,Mgat4a,-0.2,0.0282,0.511,0.2915791
ENSMUSG00000025220,Mgea5,0,0,0.594,0.226213555
ENSMUSG00000033174,Mgll,0,0,0.594,0.226213555
ENSMUSG00000054612,Mgmt,1.3,0.511,0.205,0.688246139
ENSMUSG00000008540,Mgst1,0,0,0.766,0.11577123
ENSMUSG00000074604,Mgst2,-5.5,0.871,0.273,0.563837353
ENSMUSG00000026688,Mgst3,0.5,0.125,0.516,0.287350298
ENSMUSG00000033039,Micall1,-0.2,0.0872,0.591,0.228412519
ENSMUSG00000039478,Micu3,-0.5,0.223,0.297,0.527243551
ENSMUSG00000000266,Mid2,1.1,0.29,0.267,0.573488739
ENSMUSG00000028522,Mier1,1.4,2.14,0.143,0.844663963
ENSMUSG00000042570,Mier2,5.2,2.55,0.115,0.93930216
ENSMUSG00000032727,Mier3,0,0,0.72,0.142667504
ENSMUSG00000033307,Mif,0,0,0.594,0.226213555
ENSMUSG00000020743,Mif4gd,0.5,0.225,0.523,0.281498311
ENSMUSG00000029022,Miip,7.1,10.9,0.00303,2.518557371
ENSMUSG00000020827,Mink1,0.9,0.204,0.457,0.3400838
ENSMUSG00000024896,Minpp1,5.1,3.72,0.0311,1.507239611
ENSMUSG00000022613,Miox,0,0,0.594,0.226213555
ENSMUSG00000040599,Mis12,0.1,0.00498,0.573,0.241845378
ENSMUSG00000047534,Mis18bp1,-0.1,0.0317,0.649,0.187755303
ENSMUSG00000035158,Mitf,2.7,2.05,0.0742,1.129596095
ENSMUSG00000026497,Mixl1,-0.5,0.502,0.455,0.341988603
ENSMUSG00000031004,Mki67,-0.5,0.244,0.287,0.542118103
ENSMUSG00000042292,Mkl1,0,0,0.594,0.226213555
ENSMUSG00000009569,Mkl2,-6.9,3.4,0.0843,1.074172425
ENSMUSG00000028708,Mknk1,-4,0.918,0.268,0.571865206
ENSMUSG00000020190,Mknk2,1.4,0.419,0.363,0.440093375
ENSMUSG00000061013,Mkx,7.4,38.2,2.00E-06,5.698970004
ENSMUSG00000048416,Mlf1,0,0,0.594,0.226213555
ENSMUSG00000032498,Mlh1,0,0,0.594,0.226213555
ENSMUSG00000021245,Mlh3,0,0,0.594,0.226213555
ENSMUSG00000012519,Mlkl,-0.3,0.023,0.662,0.179142011
ENSMUSG00000024212,Mllt1,0,0,0.594,0.226213555
ENSMUSG00000026743,Mllt10,0,0,0.594,0.226213555
ENSMUSG00000053192,Mllt11,2.4,0.183,0.323,0.490797478
ENSMUSG00000038437,Mllt6,1.9,1.06,0.131,0.882728704
ENSMUSG00000017801,Mlx,0,0,0.594,0.226213555
ENSMUSG00000005373,Mlxipl,0,0,0.72,0.142667504
ENSMUSG00000037022,Mmaa,0,0,0.766,0.11577123
ENSMUSG00000029575,Mmab,0,0,0.766,0.11577123
ENSMUSG00000028690,Mmachc,-7,2.73,0.0542,1.266000713
ENSMUSG00000027820,Mme,-4.2,2.38,0.0738,1.131943638
ENSMUSG00000047562,Mmp10,3.7,1.56,0.166,0.779891912
ENSMUSG00000000901,Mmp11,3.1,1.84,0.132,0.879426069
ENSMUSG00000050578,Mmp13,-6.2,5.69,0.0111,1.954677021
ENSMUSG00000000957,Mmp14,0,0,0.594,0.226213555
ENSMUSG00000031790,Mmp15,2.3,0.35,0.246,0.609064893
ENSMUSG00000029436,Mmp17,0.1,0.00885,0.56,0.251811973
ENSMUSG00000025355,Mmp19,0,0,0.766,0.11577123
ENSMUSG00000043089,Mmp1a,0,0,0.766,0.11577123
ENSMUSG00000031740,Mmp2,0.8,0.218,0.3,0.522878745
ENSMUSG00000030981,Mmp21,0.7,0.244,0.436,0.360513511
ENSMUSG00000029061,Mmp23,-3.1,6.52,0.0218,1.661543506
ENSMUSG00000027612,Mmp24,-0.9,0.452,0.354,0.450996738
ENSMUSG00000023903,Mmp25,-6.3,0.678,0.305,0.515700161
ENSMUSG00000070323,Mmp27,-8,1.63,0.157,0.804100348
ENSMUSG00000020682,Mmp28,0,0,0.766,0.11577123
ENSMUSG00000043613,Mmp3,3.3,3.36,0.0374,1.427128398
ENSMUSG00000018623,Mmp7,-2.2,0.263,0.426,0.370590401
ENSMUSG00000005800,Mmp8,2.4,1.04,0.247,0.607303047
ENSMUSG00000017737,Mmp9,-0.3,0.0803,0.43,0.366531544
ENSMUSG00000033752,Mnd1,0,0,0.72,0.142667504
ENSMUSG00000026536,Mnda,0,0,0.594,0.226213555
ENSMUSG00000090272,Mndal,0.7,0.114,0.391,0.407823243
ENSMUSG00000000282,Mnt,0,0,0.594,0.226213555
ENSMUSG00000001566,Mnx1,0,0,0.594,0.226213555
ENSMUSG00000096458,Moap1,-0.3,0.0743,0.441,0.355561411
ENSMUSG00000043131,Mob1a,0.1,0.00498,0.573,0.241845378
